division,crime_type,year,cases
tanglin police division - bukit timah npc,theft of motor vehicle,2021,0
tanglin police division - bukit timah npc,theft of motor vehicle,2020,2
tanglin police division - bukit timah npc,theft of motor vehicle,2019,1
tanglin police division - bukit timah npc,theft of motor vehicle,2018,2
tanglin police division - bukit timah npc,theft of motor vehicle,2017,0
tanglin police division - bukit timah npc,theft of motor vehicle,2016,2
tanglin police division - bukit timah npc,theft of motor vehicle,2015,2
tanglin police division - bukit timah npc,theft of motor vehicle,2014,3
tanglin police division - bukit timah npc,theft of motor vehicle,2013,4
tanglin police division - bukit timah npc,theft of motor vehicle,2012,2
tanglin police division - bukit timah npc,theft of motor vehicle,2011,8
tanglin police division - bukit timah npc,outrage of modesty,2024,20
tanglin police division - bukit timah npc,outrage of modesty,2023,29
tanglin police division - bukit timah npc,outrage of modesty,2022,29
tanglin police division - bukit timah npc,outrage of modesty,2021,30
tanglin police division - bukit timah npc,outrage of modesty,2020,24
tanglin police division - bukit timah npc,outrage of modesty,2019,32
tanglin police division - bukit timah npc,outrage of modesty,2018,31
tanglin police division - bukit timah npc,outrage of modesty,2017,23
tanglin police division - bukit timah npc,outrage of modesty,2016,17
tanglin police division - bukit timah npc,outrage of modesty,2015,19
tanglin police division - bukit timah npc,outrage of modesty,2014,21
tanglin police division - bukit timah npc,outrage of modesty,2013,17
tanglin police division - bukit timah npc,outrage of modesty,2012,28
tanglin police division - bukit timah npc,outrage of modesty,2011,15
tanglin police division - kampong java npc,robbery,2024,1
tanglin police division - kampong java npc,robbery,2023,0
tanglin police division - kampong java npc,robbery,2022,0
tanglin police division - kampong java npc,robbery,2021,1
tanglin police division - kampong java npc,robbery,2020,4
tanglin police division - kampong java npc,robbery,2019,2
tanglin police division - kampong java npc,robbery,2018,1
tanglin police division - kampong java npc,robbery,2017,2
tanglin police division - kampong java npc,robbery,2016,2
tanglin police division - kampong java npc,robbery,2015,6
tanglin police division - kampong java npc,robbery,2014,6
tanglin police division - kampong java npc,robbery,2013,15
tanglin police division - kampong java npc,robbery,2012,6
tanglin police division - kampong java npc,robbery,2011,6
tanglin police division - kampong java npc,housebreaking,2024,2
tanglin police division - kampong java npc,housebreaking,2023,3
tanglin police division - kampong java npc,housebreaking,2022,2
tanglin police division - kampong java npc,housebreaking,2021,1
tanglin police division - kampong java npc,housebreaking,2020,8
tanglin police division - kampong java npc,housebreaking,2019,4
tanglin police division - kampong java npc,housebreaking,2018,1
tanglin police division - kampong java npc,housebreaking,2017,3
tanglin police division - kampong java npc,housebreaking,2016,3
tanglin police division - kampong java npc,housebreaking,2015,6
tanglin police division - kampong java npc,housebreaking,2014,10
tanglin police division - kampong java npc,housebreaking,2013,13
tanglin police division - kampong java npc,housebreaking,2012,9
tanglin police division - kampong java npc,housebreaking,2011,8
tanglin police division - kampong java npc,snatch theft,2024,0
tanglin police division - kampong java npc,snatch theft,2023,0
tanglin police division - kampong java npc,snatch theft,2022,0
tanglin police division - kampong java npc,snatch theft,2021,0
tanglin police division - kampong java npc,snatch theft,2020,0
tanglin police division - kampong java npc,snatch theft,2019,0
tanglin police division - kampong java npc,snatch theft,2018,1
tanglin police division - kampong java npc,snatch theft,2017,0
tanglin police division - kampong java npc,snatch theft,2016,1
tanglin police division - kampong java npc,snatch theft,2015,2
tanglin police division - kampong java npc,snatch theft,2014,6
tanglin police division - kampong java npc,snatch theft,2013,2
tanglin police division - kampong java npc,snatch theft,2012,3
tanglin police division - kampong java npc,snatch theft,2011,7
tanglin police division - kampong java npc,theft of motor vehicle,2024,3
tanglin police division - kampong java npc,theft of motor vehicle,2023,0
tanglin police division - kampong java npc,theft of motor vehicle,2022,1
tanglin police division - kampong java npc,theft of motor vehicle,2021,0
tanglin police division - kampong java npc,theft of motor vehicle,2020,1
tanglin police division - kampong java npc,theft of motor vehicle,2019,1
tanglin police division - kampong java npc,theft of motor vehicle,2018,0
tanglin police division - kampong java npc,theft of motor vehicle,2017,1
tanglin police division - kampong java npc,theft of motor vehicle,2016,1
tanglin police division - kampong java npc,theft of motor vehicle,2015,1
tanglin police division - kampong java npc,theft of motor vehicle,2014,5
tanglin police division - kampong java npc,theft of motor vehicle,2013,4
tanglin police division - kampong java npc,theft of motor vehicle,2012,17
tanglin police division - kampong java npc,theft of motor vehicle,2011,5
tanglin police division - kampong java npc,outrage of modesty,2024,27
tanglin police division - kampong java npc,outrage of modesty,2023,33
tanglin police division - kampong java npc,outrage of modesty,2022,28
tanglin police division - kampong java npc,outrage of modesty,2021,43
tanglin police division - kampong java npc,outrage of modesty,2020,26
tanglin police division - kampong java npc,outrage of modesty,2019,28
tanglin police division - kampong java npc,outrage of modesty,2018,30
tanglin police division - kampong java npc,outrage of modesty,2017,32
tanglin police division - kampong java npc,outrage of modesty,2016,25
tanglin police division - kampong java npc,outrage of modesty,2015,28
tanglin police division - kampong java npc,outrage of modesty,2014,24
tanglin police division - kampong java npc,outrage of modesty,2013,29
tanglin police division - kampong java npc,outrage of modesty,2012,30
tanglin police division - kampong java npc,outrage of modesty,2011,26
tanglin police division - orchard npc,robbery,2024,1
tanglin police division - orchard npc,robbery,2023,0
tanglin police division - orchard npc,robbery,2022,1
tanglin police division - orchard npc,robbery,2021,0
tanglin police division - orchard npc,robbery,2020,0
tanglin police division - orchard npc,robbery,2019,3
tanglin police division - orchard npc,robbery,2018,2
tanglin police division - orchard npc,robbery,2017,5
tanglin police division - orchard npc,robbery,2016,5
tanglin police division - orchard npc,robbery,2015,6
tanglin police division - orchard npc,robbery,2014,8
tanglin police division - orchard npc,robbery,2013,7
tanglin police division - orchard npc,robbery,2012,15
tanglin police division - orchard npc,robbery,2011,10
tanglin police division - orchard npc,housebreaking,2024,6
tanglin police division - orchard npc,housebreaking,2023,5
tanglin police division - orchard npc,housebreaking,2022,2
tanglin police division - orchard npc,housebreaking,2021,2
tanglin police division - orchard npc,housebreaking,2020,5
tanglin police division - orchard npc,housebreaking,2019,5
tanglin police division - orchard npc,housebreaking,2018,9
tanglin police division - orchard npc,housebreaking,2017,3
tanglin police division - orchard npc,housebreaking,2016,8
tanglin police division - orchard npc,housebreaking,2015,5
tanglin police division - orchard npc,housebreaking,2014,11
tanglin police division - orchard npc,housebreaking,2013,13
tanglin police division - orchard npc,housebreaking,2012,10
tanglin police division - orchard npc,housebreaking,2011,17
tanglin police division - orchard npc,snatch theft,2024,1
tanglin police division - orchard npc,snatch theft,2023,0
tanglin police division - orchard npc,snatch theft,2022,1
tanglin police division - orchard npc,snatch theft,2021,0
tanglin police division - orchard npc,snatch theft,2020,0
tanglin police division - orchard npc,snatch theft,2019,1
tanglin police division - orchard npc,snatch theft,2018,0
tanglin police division - orchard npc,snatch theft,2017,1
tanglin police division - orchard npc,snatch theft,2016,0
tanglin police division - orchard npc,snatch theft,2015,3
tanglin police division - orchard npc,snatch theft,2014,4
tanglin police division - orchard npc,snatch theft,2013,7
tanglin police division - orchard npc,snatch theft,2012,10
tanglin police division - orchard npc,snatch theft,2011,14
tanglin police division - orchard npc,theft of motor vehicle,2024,1
tanglin police division - orchard npc,theft of motor vehicle,2023,0
tanglin police division - orchard npc,theft of motor vehicle,2022,0
tanglin police division - orchard npc,theft of motor vehicle,2021,0
tanglin police division - orchard npc,theft of motor vehicle,2020,0
tanglin police division - orchard npc,theft of motor vehicle,2019,2
tanglin police division - orchard npc,theft of motor vehicle,2018,1
tanglin police division - orchard npc,theft of motor vehicle,2017,3
tanglin police division - orchard npc,theft of motor vehicle,2016,3
tanglin police division - orchard npc,theft of motor vehicle,2015,1
tanglin police division - orchard npc,theft of motor vehicle,2014,7
tanglin police division - orchard npc,theft of motor vehicle,2013,6
tanglin police division - orchard npc,theft of motor vehicle,2012,2
tanglin police division - orchard npc,theft of motor vehicle,2011,7
tanglin police division - orchard npc,outrage of modesty,2024,125
tanglin police division - orchard npc,outrage of modesty,2023,124
tanglin police division - orchard npc,outrage of modesty,2022,133
tanglin police division - orchard npc,outrage of modesty,2021,64
tanglin police division - orchard npc,outrage of modesty,2020,57
tanglin police division - orchard npc,outrage of modesty,2019,145
tanglin police division - orchard npc,outrage of modesty,2018,173
tanglin police division - orchard npc,outrage of modesty,2017,146
tanglin police division - orchard npc,outrage of modesty,2016,108
tanglin police division - orchard npc,outrage of modesty,2015,93
tanglin police division - orchard npc,outrage of modesty,2014,108
tanglin police division - orchard npc,outrage of modesty,2013,102
tanglin police division - orchard npc,outrage of modesty,2012,125
tanglin police division - orchard npc,outrage of modesty,2011,108
tanglin police division - toa payoh npc,robbery,2024,1
tanglin police division - toa payoh npc,robbery,2023,1
tanglin police division - toa payoh npc,robbery,2022,2
tanglin police division - toa payoh npc,robbery,2021,1
tanglin police division - toa payoh npc,robbery,2020,1
tanglin police division - toa payoh npc,robbery,2019,6
tanglin police division - toa payoh npc,robbery,2018,3
tanglin police division - toa payoh npc,robbery,2017,3
tanglin police division - toa payoh npc,robbery,2016,3
tanglin police division - toa payoh npc,robbery,2015,1
tanglin police division - toa payoh npc,robbery,2014,9
tanglin police division - toa payoh npc,robbery,2013,2
tanglin police division - toa payoh npc,robbery,2012,12
tanglin police division - toa payoh npc,robbery,2011,12
tanglin police division - toa payoh npc,housebreaking,2024,0
tanglin police division - toa payoh npc,housebreaking,2023,7
tanglin police division - toa payoh npc,housebreaking,2022,3
tanglin police division - toa payoh npc,housebreaking,2021,2
tanglin police division - toa payoh npc,housebreaking,2020,6
tanglin police division - toa payoh npc,housebreaking,2019,11
tanglin police division - toa payoh npc,housebreaking,2018,4
tanglin police division - toa payoh npc,housebreaking,2017,7
tanglin police division - toa payoh npc,housebreaking,2016,8
tanglin police division - toa payoh npc,housebreaking,2015,9
tanglin police division - toa payoh npc,housebreaking,2014,9
tanglin police division - toa payoh npc,housebreaking,2013,30
tanglin police division - toa payoh npc,housebreaking,2012,10
tanglin police division - toa payoh npc,housebreaking,2011,26
tanglin police division - toa payoh npc,snatch theft,2024,0
tanglin police division - toa payoh npc,snatch theft,2023,0
tanglin police division - toa payoh npc,snatch theft,2022,2
tanglin police division - toa payoh npc,snatch theft,2021,1
tanglin police division - toa payoh npc,snatch theft,2020,0
tanglin police division - toa payoh npc,snatch theft,2019,1
tanglin police division - toa payoh npc,snatch theft,2018,1
tanglin police division - toa payoh npc,snatch theft,2017,0
tanglin police division - toa payoh npc,snatch theft,2016,3
tanglin police division - toa payoh npc,snatch theft,2015,0
tanglin police division - toa payoh npc,snatch theft,2014,0
tanglin police division - toa payoh npc,snatch theft,2013,2
tanglin police division - toa payoh npc,snatch theft,2012,15
tanglin police division - toa payoh npc,snatch theft,2011,13
tanglin police division - toa payoh npc,theft of motor vehicle,2024,1
tanglin police division - toa payoh npc,theft of motor vehicle,2023,1
tanglin police division - toa payoh npc,theft of motor vehicle,2022,1
tanglin police division - toa payoh npc,theft of motor vehicle,2021,1
tanglin police division - toa payoh npc,theft of motor vehicle,2020,1
tanglin police division - toa payoh npc,theft of motor vehicle,2019,2
tanglin police division - toa payoh npc,theft of motor vehicle,2018,3
tanglin police division - toa payoh npc,theft of motor vehicle,2017,4
tanglin police division - toa payoh npc,theft of motor vehicle,2016,1
tanglin police division - toa payoh npc,theft of motor vehicle,2015,7
tanglin police division - toa payoh npc,theft of motor vehicle,2014,8
tanglin police division - toa payoh npc,theft of motor vehicle,2013,16
tanglin police division - toa payoh npc,theft of motor vehicle,2012,14
tanglin police division - toa payoh npc,theft of motor vehicle,2011,16
tanglin police division - toa payoh npc,outrage of modesty,2024,32
tanglin police division - toa payoh npc,outrage of modesty,2023,44
tanglin police division - toa payoh npc,outrage of modesty,2022,42
tanglin police division - toa payoh npc,outrage of modesty,2021,44
tanglin police division - toa payoh npc,outrage of modesty,2020,45
tanglin police division - toa payoh npc,outrage of modesty,2019,49
tanglin police division - toa payoh npc,outrage of modesty,2018,39
tanglin police division - toa payoh npc,outrage of modesty,2017,37
tanglin police division - toa payoh npc,outrage of modesty,2016,34
tanglin police division - toa payoh npc,outrage of modesty,2015,34
tanglin police division - toa payoh npc,outrage of modesty,2014,34
tanglin police division - toa payoh npc,outrage of modesty,2013,27
tanglin police division - toa payoh npc,outrage of modesty,2012,37
tanglin police division - toa payoh npc,outrage of modesty,2011,49
tanglin police division - unknown npc,robbery,2024,0
tanglin police division - unknown npc,robbery,2023,0
tanglin police division - unknown npc,robbery,2022,0
tanglin police division - unknown npc,robbery,2021,0
tanglin police division - unknown npc,robbery,2020,0
tanglin police division - unknown npc,robbery,2019,0
tanglin police division - unknown npc,robbery,2018,0
tanglin police division - unknown npc,robbery,2017,0
tanglin police division - unknown npc,robbery,2016,0
tanglin police division - unknown npc,robbery,2015,0
tanglin police division - unknown npc,robbery,2014,0
tanglin police division - unknown npc,robbery,2013,0
tanglin police division - unknown npc,robbery,2012,0
tanglin police division - unknown npc,robbery,2011,0
tanglin police division - unknown npc,housebreaking,2024,0
tanglin police division - unknown npc,housebreaking,2023,0
tanglin police division - unknown npc,housebreaking,2022,0
tanglin police division - unknown npc,housebreaking,2021,0
tanglin police division - unknown npc,housebreaking,2020,0
tanglin police division - unknown npc,housebreaking,2019,0
tanglin police division - unknown npc,housebreaking,2018,0
tanglin police division - unknown npc,housebreaking,2017,0
tanglin police division - unknown npc,housebreaking,2016,0
tanglin police division - unknown npc,housebreaking,2015,0
tanglin police division - unknown npc,housebreaking,2014,0
tanglin police division - unknown npc,housebreaking,2013,0
tanglin police division - unknown npc,housebreaking,2012,0
tanglin police division - unknown npc,housebreaking,2011,0
tanglin police division - unknown npc,snatch theft,2024,0
tanglin police division - unknown npc,snatch theft,2023,0
tanglin police division - unknown npc,snatch theft,2022,0
tanglin police division - unknown npc,snatch theft,2021,0
tanglin police division - unknown npc,snatch theft,2020,0
tanglin police division - unknown npc,snatch theft,2019,0
tanglin police division - unknown npc,snatch theft,2018,0
tanglin police division - unknown npc,snatch theft,2017,0
tanglin police division - unknown npc,snatch theft,2016,0
tanglin police division - unknown npc,snatch theft,2015,0
tanglin police division - unknown npc,snatch theft,2014,0
tanglin police division - unknown npc,snatch theft,2013,0
tanglin police division - unknown npc,snatch theft,2012,0
tanglin police division - unknown npc,snatch theft,2011,0
tanglin police division - unknown npc,theft of motor vehicle,2024,0
tanglin police division - unknown npc,theft of motor vehicle,2023,0
tanglin police division - unknown npc,theft of motor vehicle,2022,0
tanglin police division - unknown npc,theft of motor vehicle,2021,0
tanglin police division - unknown npc,theft of motor vehicle,2020,0
tanglin police division - unknown npc,theft of motor vehicle,2019,0
tanglin police division - unknown npc,theft of motor vehicle,2018,0
tanglin police division - unknown npc,theft of motor vehicle,2017,0
tanglin police division - unknown npc,theft of motor vehicle,2016,0
tanglin police division - unknown npc,theft of motor vehicle,2015,0
tanglin police division - unknown npc,theft of motor vehicle,2014,0
tanglin police division - unknown npc,theft of motor vehicle,2013,0
tanglin police division - unknown npc,theft of motor vehicle,2012,0
tanglin police division - unknown npc,theft of motor vehicle,2011,0
tanglin police division - unknown npc,outrage of modesty,2024,1
tanglin police division - unknown npc,outrage of modesty,2023,2
tanglin police division - unknown npc,outrage of modesty,2022,3
tanglin police division - unknown npc,outrage of modesty,2021,1
tanglin police division - unknown npc,outrage of modesty,2020,0
tanglin police division - unknown npc,outrage of modesty,2019,0
tanglin police division - unknown npc,outrage of modesty,2018,0
tanglin police division - unknown npc,outrage of modesty,2017,0
tanglin police division - unknown npc,outrage of modesty,2016,0
tanglin police division - unknown npc,outrage of modesty,2015,0
tanglin police division - unknown npc,outrage of modesty,2014,0
tanglin police division - unknown npc,outrage of modesty,2013,0
tanglin police division - unknown npc,outrage of modesty,2012,0
tanglin police division - unknown npc,outrage of modesty,2011,0
ang mo kio police division,robbery,2024,4
ang mo kio police division,robbery,2023,4
ang mo kio police division,robbery,2022,1
ang mo kio police division,robbery,2021,5
ang mo kio police division,robbery,2020,6
ang mo kio police division,robbery,2019,11
ang mo kio police division,robbery,2018,10
ang mo kio police division,robbery,2017,9
ang mo kio police division,robbery,2016,17
ang mo kio police division,robbery,2015,12
ang mo kio police division,robbery,2014,31
ang mo kio police division,robbery,2013,40
ang mo kio police division,robbery,2012,46
ang mo kio police division,robbery,2011,66
ang mo kio police division,housebreaking,2024,17
ang mo kio police division,housebreaking,2023,16
ang mo kio police division,housebreaking,2022,12
ang mo kio police division,housebreaking,2021,18
ang mo kio police division,housebreaking,2020,23
ang mo kio police division,housebreaking,2019,25
ang mo kio police division,housebreaking,2018,57
ang mo kio police division,housebreaking,2017,25
ang mo kio police division,housebreaking,2016,39
ang mo kio police division,housebreaking,2015,35
ang mo kio police division,housebreaking,2014,39
ang mo kio police division,housebreaking,2013,47
ang mo kio police division,housebreaking,2012,121
ang mo kio police division,housebreaking,2011,120
ang mo kio police division,snatch theft,2024,0
ang mo kio police division,snatch theft,2023,9
ang mo kio police division,snatch theft,2022,1
ang mo kio police division,snatch theft,2021,4
ang mo kio police division,snatch theft,2020,2
ang mo kio police division,snatch theft,2019,8
ang mo kio police division,snatch theft,2018,12
ang mo kio police division,snatch theft,2017,15
ang mo kio police division,snatch theft,2016,9
ang mo kio police division,snatch theft,2015,16
ang mo kio police division,snatch theft,2014,20
ang mo kio police division,snatch theft,2013,26
ang mo kio police division,snatch theft,2012,39
ang mo kio police division,snatch theft,2011,70
ang mo kio police division,theft of motor vehicle,2024,18
ang mo kio police division,theft of motor vehicle,2023,11
ang mo kio police division,theft of motor vehicle,2022,20
ang mo kio police division,theft of motor vehicle,2021,16
ang mo kio police division,theft of motor vehicle,2020,7
ang mo kio police division,theft of motor vehicle,2019,8
ang mo kio police division,theft of motor vehicle,2018,18
ang mo kio police division,theft of motor vehicle,2017,35
ang mo kio police division,theft of motor vehicle,2016,32
ang mo kio police division,theft of motor vehicle,2015,65
ang mo kio police division,theft of motor vehicle,2014,43
ang mo kio police division,theft of motor vehicle,2013,77
ang mo kio police division,theft of motor vehicle,2012,140
ang mo kio police division,theft of motor vehicle,2011,118
ang mo kio police division,outrage of modesty,2024,218
ang mo kio police division,outrage of modesty,2023,221
ang mo kio police division,outrage of modesty,2022,270
ang mo kio police division,outrage of modesty,2021,245
ang mo kio police division,outrage of modesty,2020,187
ang mo kio police division,outrage of modesty,2019,233
ang mo kio police division,outrage of modesty,2018,327
ang mo kio police division,outrage of modesty,2017,301
ang mo kio police division,outrage of modesty,2016,258
ang mo kio police division,outrage of modesty,2015,252
ang mo kio police division,outrage of modesty,2014,233
ang mo kio police division,outrage of modesty,2013,213
ang mo kio police division,outrage of modesty,2012,234
ang mo kio police division,outrage of modesty,2011,251
ang mo kio police division - ang mo kio north npc,robbery,2024,1
ang mo kio police division - ang mo kio north npc,robbery,2023,0
ang mo kio police division - ang mo kio north npc,robbery,2022,0
ang mo kio police division - ang mo kio north npc,robbery,2021,1
ang mo kio police division - ang mo kio north npc,robbery,2020,1
ang mo kio police division - ang mo kio north npc,robbery,2019,0
ang mo kio police division - ang mo kio north npc,robbery,2018,0
ang mo kio police division - ang mo kio north npc,robbery,2017,1
ang mo kio police division - ang mo kio north npc,robbery,2016,3
ang mo kio police division - ang mo kio north npc,robbery,2015,0
ang mo kio police division - ang mo kio north npc,robbery,2014,1
ang mo kio police division - ang mo kio north npc,robbery,2013,4
ang mo kio police division - ang mo kio north npc,robbery,2012,5
ang mo kio police division - ang mo kio north npc,robbery,2011,10
ang mo kio police division - ang mo kio north npc,housebreaking,2024,1
ang mo kio police division - ang mo kio north npc,housebreaking,2023,3
ang mo kio police division - ang mo kio north npc,housebreaking,2022,1
ang mo kio police division - ang mo kio north npc,housebreaking,2021,2
ang mo kio police division - ang mo kio north npc,housebreaking,2020,4
ang mo kio police division - ang mo kio north npc,housebreaking,2019,1
ang mo kio police division - ang mo kio north npc,housebreaking,2018,3
ang mo kio police division - ang mo kio north npc,housebreaking,2017,1
ang mo kio police division - ang mo kio north npc,housebreaking,2016,4
ang mo kio police division - ang mo kio north npc,housebreaking,2015,3
ang mo kio police division - ang mo kio north npc,housebreaking,2014,3
ang mo kio police division - ang mo kio north npc,housebreaking,2013,8
ang mo kio police division - ang mo kio north npc,housebreaking,2012,12
ang mo kio police division - ang mo kio north npc,housebreaking,2011,18
ang mo kio police division - ang mo kio north npc,snatch theft,2024,0
ang mo kio police division - ang mo kio north npc,snatch theft,2023,2
ang mo kio police division - ang mo kio north npc,snatch theft,2022,0
ang mo kio police division - ang mo kio north npc,snatch theft,2021,0
ang mo kio police division - ang mo kio north npc,snatch theft,2020,0
ang mo kio police division - ang mo kio north npc,snatch theft,2019,2
ang mo kio police division - ang mo kio north npc,snatch theft,2018,1
ang mo kio police division - ang mo kio north npc,snatch theft,2017,3
ang mo kio police division - ang mo kio north npc,snatch theft,2016,1
ang mo kio police division - ang mo kio north npc,snatch theft,2015,2
ang mo kio police division - ang mo kio north npc,snatch theft,2014,4
ang mo kio police division - ang mo kio north npc,snatch theft,2013,5
ang mo kio police division - ang mo kio north npc,snatch theft,2012,3
ang mo kio police division - ang mo kio north npc,snatch theft,2011,8
ang mo kio police division - ang mo kio north npc,theft of motor vehicle,2024,1
ang mo kio police division - ang mo kio north npc,theft of motor vehicle,2023,0
ang mo kio police division - ang mo kio north npc,theft of motor vehicle,2022,1
ang mo kio police division - ang mo kio north npc,theft of motor vehicle,2021,0
ang mo kio police division - ang mo kio north npc,theft of motor vehicle,2020,1
ang mo kio police division - ang mo kio north npc,theft of motor vehicle,2019,0
ang mo kio police division - ang mo kio north npc,theft of motor vehicle,2018,2
ang mo kio police division - ang mo kio north npc,theft of motor vehicle,2017,2
ang mo kio police division - ang mo kio north npc,theft of motor vehicle,2016,5
ang mo kio police division - ang mo kio north npc,theft of motor vehicle,2015,4
ang mo kio police division - ang mo kio north npc,theft of motor vehicle,2014,4
ang mo kio police division - ang mo kio north npc,theft of motor vehicle,2013,5
ang mo kio police division - ang mo kio north npc,theft of motor vehicle,2012,13
ang mo kio police division - ang mo kio north npc,theft of motor vehicle,2011,13
ang mo kio police division - ang mo kio north npc,outrage of modesty,2024,15
ang mo kio police division - ang mo kio north npc,outrage of modesty,2023,23
ang mo kio police division - ang mo kio north npc,outrage of modesty,2022,32
ang mo kio police division - ang mo kio north npc,outrage of modesty,2021,32
ang mo kio police division - ang mo kio north npc,outrage of modesty,2020,29
ang mo kio police division - ang mo kio north npc,outrage of modesty,2019,23
ang mo kio police division - ang mo kio north npc,outrage of modesty,2018,28
ang mo kio police division - ang mo kio north npc,outrage of modesty,2017,27
ang mo kio police division - ang mo kio north npc,outrage of modesty,2016,24
ang mo kio police division - ang mo kio north npc,outrage of modesty,2015,22
ang mo kio police division - ang mo kio north npc,outrage of modesty,2014,33
ang mo kio police division - ang mo kio north npc,outrage of modesty,2013,20
ang mo kio police division - ang mo kio north npc,outrage of modesty,2012,28
ang mo kio police division - ang mo kio north npc,outrage of modesty,2011,25
ang mo kio police division - ang mo kio south npc,robbery,2024,0
ang mo kio police division - ang mo kio south npc,robbery,2023,0
ang mo kio police division - ang mo kio south npc,robbery,2022,0
ang mo kio police division - ang mo kio south npc,robbery,2021,1
ang mo kio police division - ang mo kio south npc,robbery,2020,0
ang mo kio police division - ang mo kio south npc,robbery,2019,4
ang mo kio police division - ang mo kio south npc,robbery,2018,1
ang mo kio police division - ang mo kio south npc,robbery,2017,0
ang mo kio police division - ang mo kio south npc,robbery,2016,2
ang mo kio police division - ang mo kio south npc,robbery,2015,3
ang mo kio police division - ang mo kio south npc,robbery,2014,4
ang mo kio police division - ang mo kio south npc,robbery,2013,5
ang mo kio police division - ang mo kio south npc,robbery,2012,9
ang mo kio police division - ang mo kio south npc,robbery,2011,12
ang mo kio police division - ang mo kio south npc,housebreaking,2024,2
ang mo kio police division - ang mo kio south npc,housebreaking,2023,0
ang mo kio police division - ang mo kio south npc,housebreaking,2022,1
ang mo kio police division - ang mo kio south npc,housebreaking,2021,5
ang mo kio police division - ang mo kio south npc,housebreaking,2020,2
ang mo kio police division - ang mo kio south npc,housebreaking,2019,2
ang mo kio police division - ang mo kio south npc,housebreaking,2018,4
ang mo kio police division - ang mo kio south npc,housebreaking,2017,4
ang mo kio police division - ang mo kio south npc,housebreaking,2016,3
ang mo kio police division - ang mo kio south npc,housebreaking,2015,3
ang mo kio police division - ang mo kio south npc,housebreaking,2014,7
ang mo kio police division - ang mo kio south npc,housebreaking,2013,0
ang mo kio police division - ang mo kio south npc,housebreaking,2012,7
ang mo kio police division - ang mo kio south npc,housebreaking,2011,10
ang mo kio police division - ang mo kio south npc,snatch theft,2024,0
ang mo kio police division - ang mo kio south npc,snatch theft,2023,2
ang mo kio police division - ang mo kio south npc,snatch theft,2022,1
ang mo kio police division - ang mo kio south npc,snatch theft,2021,3
ang mo kio police division - ang mo kio south npc,snatch theft,2020,0
ang mo kio police division - ang mo kio south npc,snatch theft,2019,4
ang mo kio police division - ang mo kio south npc,snatch theft,2018,3
ang mo kio police division - ang mo kio south npc,snatch theft,2017,2
ang mo kio police division - ang mo kio south npc,snatch theft,2016,3
ang mo kio police division - ang mo kio south npc,snatch theft,2015,1
ang mo kio police division - ang mo kio south npc,snatch theft,2014,3
ang mo kio police division - ang mo kio south npc,snatch theft,2013,5
ang mo kio police division - ang mo kio south npc,snatch theft,2012,10
ang mo kio police division - ang mo kio south npc,snatch theft,2011,10
ang mo kio police division - ang mo kio south npc,theft of motor vehicle,2024,0
ang mo kio police division - ang mo kio south npc,theft of motor vehicle,2023,1
ang mo kio police division - ang mo kio south npc,theft of motor vehicle,2022,0
ang mo kio police division - ang mo kio south npc,theft of motor vehicle,2021,2
ang mo kio police division - ang mo kio south npc,theft of motor vehicle,2020,1
ang mo kio police division - ang mo kio south npc,theft of motor vehicle,2019,0
ang mo kio police division - ang mo kio south npc,theft of motor vehicle,2018,2
ang mo kio police division - ang mo kio south npc,theft of motor vehicle,2017,3
ang mo kio police division - ang mo kio south npc,theft of motor vehicle,2016,1
ang mo kio police division - ang mo kio south npc,theft of motor vehicle,2015,8
ang mo kio police division - ang mo kio south npc,theft of motor vehicle,2014,5
ang mo kio police division - ang mo kio south npc,theft of motor vehicle,2013,5
ang mo kio police division - ang mo kio south npc,theft of motor vehicle,2012,21
ang mo kio police division - ang mo kio south npc,theft of motor vehicle,2011,8
ang mo kio police division - ang mo kio south npc,outrage of modesty,2024,13
ang mo kio police division - ang mo kio south npc,outrage of modesty,2023,31
ang mo kio police division - ang mo kio south npc,outrage of modesty,2022,24
ang mo kio police division - ang mo kio south npc,outrage of modesty,2021,19
ang mo kio police division - ang mo kio south npc,outrage of modesty,2020,10
ang mo kio police division - ang mo kio south npc,outrage of modesty,2019,30
ang mo kio police division - ang mo kio south npc,outrage of modesty,2018,34
ang mo kio police division - ang mo kio south npc,outrage of modesty,2017,26
ang mo kio police division - ang mo kio south npc,outrage of modesty,2016,29
ang mo kio police division - ang mo kio south npc,outrage of modesty,2015,24
ang mo kio police division - ang mo kio south npc,outrage of modesty,2014,22
ang mo kio police division - ang mo kio south npc,outrage of modesty,2013,20
ang mo kio police division - ang mo kio south npc,outrage of modesty,2012,24
ang mo kio police division - ang mo kio south npc,outrage of modesty,2011,19
ang mo kio police division - hougang npc,robbery,2024,1
ang mo kio police division - hougang npc,robbery,2023,1
ang mo kio police division - hougang npc,robbery,2022,1
ang mo kio police division - hougang npc,robbery,2021,0
ang mo kio police division - hougang npc,robbery,2020,2
ang mo kio police division - hougang npc,robbery,2019,2
ang mo kio police division - hougang npc,robbery,2018,4
ang mo kio police division - hougang npc,robbery,2017,1
ang mo kio police division - hougang npc,robbery,2016,2
ang mo kio police division - hougang npc,robbery,2015,4
ang mo kio police division - hougang npc,robbery,2014,3
ang mo kio police division - hougang npc,robbery,2013,10
ang mo kio police division - hougang npc,robbery,2012,11
ang mo kio police division - hougang npc,robbery,2011,9
